iter	Passed	Remaining
0	1	189
1	4	210
2	6	201
3	8	192
4	9	183
5	11	180
6	13	178
7	15	176
8	17	173
9	18	169
10	20	167
11	22	165
12	24	163
13	26	160
14	28	159
15	29	155
16	31	152
17	32	148
18	33	144
19	35	141
20	37	139
21	38	137
22	40	134
23	41	132
24	42	128
25	44	126
26	45	123
27	47	121
28	48	119
29	50	117
30	51	115
31	53	113
32	54	111
33	56	109
34	57	107
35	59	105
36	60	103
37	62	101
38	63	99
39	64	97
40	66	95
41	67	92
42	68	91
43	70	89
44	71	87
45	73	85
46	74	84
47	75	82
48	76	79
49	78	78
50	79	76
51	81	75
52	82	73
53	84	71
54	84	69
55	85	67
56	86	65
57	88	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	99	51
66	99	49
67	100	47
68	101	45
69	102	44
70	103	42
71	104	40
72	106	39
73	107	37
74	109	36
75	110	34
76	111	33
77	112	31
78	113	30
79	114	28
80	115	27
81	116	25
82	117	24
83	118	22
84	120	21
85	121	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	128	11
92	130	9
93	131	8
94	132	6
95	133	5
96	135	4
97	136	2
98	137	1
99	139	0
